Brand,model,Year,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year
Toyota,2.8 Legender 4X2,2022,25500.0,Automatic,first,Diesel,4199999,6375.0
Maruti Suzuki,Swift Dzire,2015,67000.0,Manual,first,Petrol,450000,6090.909090909091
Volkswagen,VentoTest,2016,78000.0,Automatic,first,Petrol,555000,7800.0
Toyota,Innova,2006,191000.0,Manual,first,Diesel,295000,9550.0
Hyundai,Creta,2018,66000.0,Automatic,second,Petrol,1075000,8250.0
Toyota,Innova Crysta,2016,75000.0,Manual,first,Diesel,1480000,7500.0
Maruti Suzuki,Vitara-Brezza,2018,85600.0,Manual,first,Diesel,750000,10700.0
Maruti Suzuki,Ertiga,2012,155000.0,Manual,second,Diesel,650000,11071.42857142857
Hyundai,i10,2010,46000.0,Manual,second,Petrol,78000,2875.0
Maruti Suzuki,Ciaz,2015,68000.0,Manual,first,Petrol,330000,6181.818181818182
Ford,Ecosport,2018,73000.0,Automatic,first,Petrol,590000,9125.0
Honda,City,2011,74000.0,Automatic,second,Petrol,375000,4933.333333333333
Maruti Suzuki,Swift,2018,65000.0,Automatic,second,Petrol,590000,8125.0
Audi,A4,2021,50000.0,Automatic,first,Petrol,3250000,10000.0
Honda,City,2014,61000.0,Automatic,first,Petrol,685000,5083.333333333333
Maruti Suzuki,Swift,2005,98000.0,Manual,second,Petrol,160000,4666.666666666667
Mahindra,XUV500,2017,76000.0,Automatic,second,Diesel,760000,8444.444444444445
Mahindra,XUV500,2016,89100.0,Manual,second,Diesel,760000,8910.0
Volkswagen,Polo,2018,73961.0,Automatic,second,Petrol,935000,9245.125
Ford,Endeavour,2019,60000.0,Automatic,first,Diesel,2740000,8571.42857142857
Mahindra,Thar,2018,46850.0,Manual,second,Diesel,880000,5856.25
Mahindra,Thar,2023,28000.0,Automatic,first,Diesel,1785000,9333.333333333334
Mahindra,XUV500,2013,99000.0,Manual,second,Diesel,470000,7615.384615384615
Maruti Suzuki,Sx4,2009,56328.0,Manual,first,Petrol,265000,3313.4117647058824
Hyundai,Creta,2018,127000.0,Manual,first,Diesel,995000,15875.0
Mercedes-Benz,C-Class,2013,78000.0,Automatic,second,Petrol,790000,6000.0
Toyota,Innova Crysta,2022,31000.0,Automatic,first,Diesel,2700000,7750.0
Skoda,Kodiaq,2020,57000.0,Automatic,first,Diesel,3045000,9500.0
Ford,Endeavour,2017,70000.0,Automatic,second,Diesel,2650000,7777.777777777777
Hyundai,Eon,2014,41453.0,Manual,second,Petrol,220000,3454.4166666666665
Tata,Altroz,2021,33000.0,Manual,first,Petrol,545000,6600.0
Maruti Suzuki,Celerio,2018,37000.0,Automatic,second,Petrol,460000,4625.0
Volkswagen,Polo,2015,65000.0,Manual,first,Petrol,375000,5909.090909090909
Hyundai,Grand i10 Nios,2022,36000.0,Automatic,first,Petrol,690000,9000.0
Toyota,Camry,2016,130000.0,Automatic,second,Petrol,1399999,13000.0
Maruti Suzuki,Alto-800,2013,100000.0,Manual,second,Petrol,160000,7692.307692307692
BMW,X1,2016,93000.0,Automatic,first,Diesel,2100000,9300.0
Hyundai,Creta,2019,48000.0,Manual,first,Diesel,1065000,6857.142857142857
BMW,X5,2016,63000.0,Automatic,second,Diesel,2290000,6300.0
Hyundai,i20,2015,85000.0,Manual,second,Diesel,560000,7727.272727272727
Skoda,Rapid,2017,70000.0,Automatic,first,Diesel,750000,7777.777777777777
Hyundai,Verna,2013,59000.0,Manual,second,Petrol,425000,4538.461538461538
Mahindra,TUV,2015,72000.0,Automatic,second,Diesel,390000,6545.454545454545
Mercedes-Benz,E-Class,2012,74000.0,Automatic,second,Diesel,1295000,5285.714285714285
Honda,City,2018,78127.0,Manual,first,Diesel,785000,9765.875
Maruti Suzuki,Ciaz,2020,26000.0,Manual,first,Petrol,775000,4333.333333333333
Renault,KWID,2017,65663.0,Automatic,second,Petrol,325000,7295.888888888889
BMW,5 Series,2018,24000.0,Automatic,first,Petrol,4199000,3000.0
Toyota,Fortuner,2015,160000.0,Automatic,second,Diesel,1250000,14545.454545454546
Volkswagen,Polo,2020,79000.0,Manual,second,Petrol,725000,13166.666666666666
Maruti Suzuki,Baleno,2018,31000.0,Manual,first,Petrol,549000,3875.0
Hyundai,Creta,2019,55000.0,Automatic,first,Diesel,1299999,7857.142857142857
Maruti Suzuki,Swift Dzire,2015,89000.0,Manual,second,Diesel,431000,8090.909090909091
Hyundai,Alcazar,2022,37000.0,Automatic,first,Diesel,1820000,9250.0
Maruti Suzuki,Alto K10,2016,56000.0,Manual,first,Petrol,275000,5600.0
Mercedes-Benz,M-Class,2015,75000.0,Automatic,first,Diesel,2450000,6818.181818181818
Honda,Brio,2014,32001.0,Manual,second,Petrol,295000,2666.75
Maruti Suzuki,Swift-Dzire,2024,22000.0,Manual,first,Petrol,260000,11000.0
Hyundai,i20,2010,45000.0,Manual,second,Petrol,150000,2812.5
Toyota,Fortuner,2021,60000.0,Automatic,first,Petrol,3200000,12000.0
Kia,Seltos,2021,41000.0,Automatic,first,Petrol,1390000,8200.0
Volkswagen,Polo,2015,51000.0,Manual,second,Petrol,499999,4636.363636363636
Toyota,Glanza,2021,28000.0,Automatic,second,Petrol,750000,5600.0
BMW,5 Series,2019,38000.0,Automatic,first,Diesel,4450000,5428.571428571428
Skoda,Rapid,2019,64800.0,Automatic,first,Diesel,799000,9257.142857142857
Jeep,Compass,2022,17300.0,Automatic,first,Petrol,1995000,4325.0
Volkswagen,VentoTest,2013,38000.0,Manual,first,Petrol,292000,2923.076923076923
Honda,City,2011,95000.0,Automatic,second,Petrol,280000,6333.333333333333
Honda,Brio,2012,72000.0,Manual,first,Petrol,165000,5142.857142857143
Maruti Suzuki,Ertiga,2016,135000.0,Manual,second,Diesel,875000,13500.0
Toyota,Etios,2012,135000.0,Manual,second,Diesel,395000,9642.857142857143
Volkswagen,VentoTest,2019,160000.0,Manual,first,Diesel,695000,22857.14285714286
Tata,Harrier,2022,14000.0,Automatic,first,Diesel,1875000,3500.0
Kia,Seltos,2020,50200.0,Automatic,first,Petrol,1300000,8366.666666666666
Maruti Suzuki,Alto-800,2014,47000.0,Manual,first,Petrol,255000,3916.6666666666665
Honda,City,2011,59600.0,Manual,second,Petrol,210000,3973.3333333333335
Maruti Suzuki,Ritz,2010,8000.0,Automatic,second,Petrol,185000,500.0
Maruti Suzuki,Wagon-R,2023,30000.0,Manual,first,Petrol,675000,10000.0
Renault,KWID,2017,54000.0,Automatic,second,Petrol,365000,6000.0
Maruti Suzuki,Omni,1998,80000.0,Manual,second,Petrol,75000,2857.1428571428573
Chevrolet,Cruze,2011,100000.0,Automatic,second,Diesel,295000,6666.666666666667
Mahindra,XUV500,2017,48000.0,Automatic,first,Diesel,1199999,5333.333333333333
Hyundai,Verna,2013,150000.0,Automatic,second,Diesel,410000,11538.461538461539
Hyundai,Creta,2016,63000.0,Manual,second,Petrol,650000,6300.0
Toyota,Fortuner,2014,333000.0,Automatic,second,Diesel,1445000,27750.0
Honda,City,2018,62000.0,Manual,first,Petrol,695000,7750.0
Honda,Amaze,2021,56001.0,Automatic,first,Diesel,1125000,11200.2
Toyota,Innova Crysta,2017,25000.0,Manual,first,Diesel,1565000,2777.777777777778
Honda,Jazz,2015,68001.0,Manual,second,Petrol,444000,6181.909090909091
Renault,Scala,2013,72000.0,Manual,first,Diesel,345000,5538.461538461538
BMW,3 Series GT,2019,50000.0,Automatic,second,Diesel,2675000,7142.857142857143
Honda,City,2016,95000.0,Manual,second,Petrol,535000,9500.0
Maruti Suzuki,S-Presso,2021,39000.0,Automatic,first,Petrol,465000,7800.0
Mahindra,XUV500,2013,60000.0,Manual,second,Diesel,695000,4615.384615384615
Hyundai,Tucson,2017,72315.0,Automatic,second,Diesel,1035000,8035.0
Hyundai,Verna,2014,82000.0,Automatic,second,Petrol,390000,6833.333333333333
Maruti Suzuki,Alto,2019,85000.0,Automatic,second,Petrol,280000,12142.857142857143
Hyundai,Santa Fe,2016,64000.0,Automatic,first,Diesel,1245000,6400.0
Hyundai,Xcent,2016,68500.0,Manual,second,Petrol,440000,6850.0
Maruti Suzuki,Dzire,2022,44000.0,Automatic,first,Petrol,780000,11000.0
Maruti Suzuki,Swift,2019,59000.0,Manual,first,Petrol,540000,8428.57142857143
MG,ASTOR,2022,32000.0,Automatic,first,Petrol,1275000,8000.0
Audi,Q7,2014,45000.0,Automatic,second,Diesel,1200000,3750.0
Volkswagen,VentoTest,2016,130000.0,Automatic,second,Petrol,525000,13000.0
Maruti Suzuki,Alto-800,2019,,Manual,first,Petrol,300000,
Toyota,Innova Crysta,2017,112000.0,Automatic,first,Diesel,1551111,12444.444444444445
Mini,Cooper 5 DOOR,2014,32000.0,Automatic,second,Diesel,1900000,2666.6666666666665
Renault,KWID,2017,78537.0,Automatic,first,Petrol,375000,8726.333333333334
Volkswagen,VentoTest,2018,70673.0,Automatic,first,Diesel,775000,8834.125
Maruti Suzuki,Baleno,2018,39848.0,Manual,first,Petrol,479931,4981.0
Audi,Q3,2016,77000.0,Automatic,first,Diesel,1500000,7700.0
Maruti Suzuki,Alto,2008,111400.0,Manual,second,Petrol,150000,6188.888888888889
Toyota,Fortuner,2017,30000.0,Automatic,second,Diesel,3495000,3333.3333333333335
Skoda,Rapid,2015,82000.0,Automatic,second,Diesel,325000,7454.545454545455
Maruti Suzuki,Swift-Dzire,2013,89000.0,Manual,second,Diesel,361000,6846.153846153846
Toyota,Fortuner,2015,195000.0,Automatic,first,Diesel,1550000,17727.272727272728
Tata,Hexa,2017,65110.0,Manual,first,Diesel,695000,7234.444444444444
Hyundai,Creta Facelift,2022,25000.0,Manual,first,Petrol,1375000,6250.0
BMW,7 Series,2014,115000.0,Automatic,first,Diesel,1500000,9583.333333333334
Honda,Jazz,2015,64000.0,Manual,first,Petrol,574999,5818.181818181818
Volkswagen,Polo,2013,61000.0,Automatic,first,Petrol,415000,4692.307692307692
Hyundai,Grand i10,2014,54000.0,Automatic,second,Petrol,479000,4500.0
Maruti Suzuki,Ciaz,2020,610003.0,Manual,first,Petrol,840000,101667.16666666667
Toyota,Innova Crysta,2022,25000.0,Automatic,first,Diesel,2600000,6250.0
Maruti Suzuki,Celerio,2015,103000.0,Automatic,second,Petrol,360000,9363.636363636364
Mahindra,Thar,2022,14000.0,Automatic,first,Petrol,1550000,3500.0
Tata,Bolt,2015,56000.0,Manual,first,Petrol,235000,5090.909090909091
BMW,5 Series,2016,47000.0,Automatic,second,Diesel,2500000,4700.0
Jaguar,XF,2013,97763.0,Automatic,second,Diesel,1550000,7520.2307692307695
Tata,Tiago,2021,74000.0,Manual,second,Petrol,515000,14800.0
Honda,Brio,2015,50000.0,Manual,second,Petrol,385000,4545.454545454545
Toyota,Innova Crysta,2021,42000.0,Manual,second,Diesel,2550000,8400.0
Skoda,Rapid,2014,71000.0,Automatic,second,Petrol,395000,5916.666666666667
Mahindra,Thar,2020,40000.0,Manual,first,Diesel,1195000,6666.666666666667
Hyundai,i20,2010,83000.0,Manual,second,Petrol,235000,5187.5
Toyota,Fortuner,2012,166000.0,Manual,second,Diesel,1650000,11857.142857142857
Tata,Indigo Marina,2004,70899.0,Manual,second,Petrol,98000,3222.681818181818
Maruti Suzuki,Ertiga,2019,91000.0,Manual,first,Diesel,1149000,13000.0
Tata,Safari,2022,27000.0,Manual,first,Diesel,1865000,6750.0
Hyundai,Creta,2018,77620.0,Automatic,first,Diesel,1350000,9702.5
Ford,Ecosport,2017,85000.0,Manual,second,Diesel,649999,9444.444444444445
Tata,Nano Genx,2016,58.0,Automatic,second,Petrol,186000,5.8
Maruti Suzuki,Swift-Dzire,2016,25.0,Manual,second,Diesel,420000,2.5
Maruti Suzuki,Alto-800,2006,20024.0,Manual,first,Petrol,20000,1001.2
Hyundai,Grand i10,2014,80000.0,Manual,second,Petrol,375556,6666.666666666667
Volkswagen,Polo,2019,35000.0,Automatic,second,Petrol,1185000,5000.0
Honda,City Hybrid eHEV,2016,77000.0,Automatic,first,Petrol,575000,7700.0
Maruti Suzuki,Swift,2018,63259.0,Automatic,second,Diesel,520000,7907.375
Ford,Ecosport,2017,110000.0,Manual,first,Diesel,449999,12222.222222222223
Hyundai,i20,2023,14000.0,Automatic,first,Petrol,925000,4666.666666666667
Volkswagen,Tiguan,2018,52000.0,Automatic,first,Diesel,1915000,6500.0
Mercedes-Benz,G,2011,45000.0,Automatic,second,Diesel,7500000,3000.0
BMW,3 Series,2016,65000.0,Automatic,second,Diesel,1325000,6500.0
Renault,Duster,2016,75000.0,Automatic,second,Diesel,595000,7500.0
Maruti Suzuki,Swift,2007,135000.0,Manual,second,Diesel,165000,7105.263157894737
Toyota,Innova,2014,105000.0,Manual,second,Diesel,780000,8750.0
Land Rover,Range Rover,2016,151000.0,Automatic,second,Diesel,2800000,15100.0
BMW,7 Series,2013,61000.0,Automatic,second,Diesel,851000,4692.307692307692
Maruti Suzuki,Grand Vitara,2023,21209.0,Manual,first,Petrol,1290000,7069.666666666667
Toyota,Glanza,2020,87000.0,Manual,first,Petrol,733000,14500.0
Renault,Duster,2016,130000.0,Manual,second,Diesel,599000,13000.0
Volvo,XC 90,2015,125000.0,Automatic,second,Diesel,1075000,11363.636363636364
Tata,Tiago,2018,30000.0,Automatic,first,Petrol,355000,3750.0
Audi,A6,2015,78561.0,Automatic,first,Diesel,898970,7141.909090909091
Honda,City,2016,63000.0,Manual,second,Petrol,600000,6300.0
Honda,Amaze,2016,65000.0,Manual,first,Petrol,410000,6500.0
Volkswagen,Polo GTI,2015,102000.0,Automatic,second,Petrol,450000,9272.727272727272
Maruti Suzuki,Swift,2022,35000.0,Automatic,first,Petrol,745000,8750.0
Volkswagen,Virtus,2022,50000.0,Automatic,first,Petrol,1299000,12500.0
Maruti Suzuki,A-Star,2013,60000.0,Automatic,second,Petrol,299000,4615.384615384615
BMW,5 Series,2014,72000.0,Automatic,second,Diesel,1599000,6000.0
Mini,Cooper S,2013,53000.0,Automatic,second,Petrol,1600000,4076.923076923077
Toyota,Etios Liva,2018,74000.0,Manual,second,Diesel,850000,9250.0
MG,Hector,2023,29000.0,Automatic,first,Petrol,2295000,9666.666666666666
Mercedes-Benz,CLA,2016,20800.0,Automatic,second,Petrol,1700000,2080.0
Hyundai,i20,2017,95000.0,Manual,second,Petrol,565000,10555.555555555555
Mahindra,Thar,2021,13000.0,Automatic,first,Diesel,1700000,2600.0
Mahindra,XUV700,2023,4000.0,Manual,first,Petrol,2100000,1333.3333333333333
Maruti Suzuki,Baleno,2021,57000.0,Automatic,second,Petrol,685000,11400.0
Mahindra,Alturas G4,2022,25000.0,Automatic,first,Diesel,2725000,6250.0
Mahindra,Scorpio,2017,92000.0,Manual,first,Diesel,1050000,10222.222222222223
MG,ASTOR,2021,12110.0,Automatic,first,Petrol,1295000,2422.0
Hyundai,New i20,2022,13162.0,Automatic,first,Petrol,975000,3290.5
Toyota,Etios Liva,2017,49000.0,Manual,first,Petrol,599000,5444.444444444444
Maruti Suzuki,Alto 800,2016,68000.0,Manual,second,Petrol,265000,6800.0
Audi,A6,2013,110000.0,Automatic,second,Diesel,1150000,8461.538461538461
Hyundai,Elite i20,2017,52355.0,Manual,first,Petrol,499555,5817.222222222223
Hyundai,i10,2013,40595.0,Automatic,second,Petrol,310000,3122.6923076923076
Mahindra,Thar,2021,41000.0,Manual,second,Diesel,1450000,8200.0
Maruti Suzuki,Omni,2014,77500.0,Automatic,second,Petrol,1010000,6458.333333333333
Maruti Suzuki,Swift-Dzire,2018,55000.0,Manual,first,Petrol,595000,6875.0
Hyundai,i10,2013,80000.0,Automatic,second,Petrol,145000,6153.846153846154
Land Rover,Defender,2024,7000.0,Automatic,first,Petrol,12700000,3500.0
Mercedes-Benz,GLA Class,2016,71000.0,Automatic,second,Petrol,1990000,7100.0
Hyundai,Santro Xing,2007,65000.0,Manual,second,Petrol,185000,3421.0526315789475
Toyota,Innova Crysta,2019,69000.0,Automatic,first,Diesel,2699000,9857.142857142857
Maruti Suzuki,Ertiga,2019,90000.0,Manual,first,Diesel,900000,12857.142857142857
Fiat,Linea,2009,79742.0,Manual,second,Petrol,165000,4690.705882352941
Audi,Q3,2017,45000.0,Automatic,second,Diesel,1690000,5000.0
Toyota,Innova Crysta,2022,8000.0,Automatic,first,Diesel,3375000,2000.0
Toyota,Etios,2012,51000.0,Automatic,second,Petrol,260000,3642.8571428571427
BMW,3 Series GT,2019,71000.0,Automatic,first,Diesel,2550000,10142.857142857143
Aston Martin,Vanquish,2016,25700.0,Automatic,first,Petrol,26400000,2570.0
Mercedes-Benz,C-Class,2015,58000.0,Automatic,first,Diesel,2149999,5272.727272727273
Toyota,Fortuner,2024,2596.0,Manual,first,Diesel,3899999,1298.0
Mahindra,Thar,2023,24500.0,Automatic,first,Petrol,1410000,8166.666666666667
Honda,City,2021,125000.0,Manual,first,Diesel,1075000,25000.0
Maruti Suzuki,Ciaz,2017,79000.0,Automatic,second,Petrol,600000,8777.777777777777
Toyota,Innova Crysta,2019,118000.0,Automatic,second,Diesel,1999000,16857.14285714286
BMW,5 Series,2017,75000.0,Automatic,first,Diesel,4000000,8333.333333333334
Mahindra,Bolero,2017,105000.0,Manual,second,Diesel,620000,11666.666666666666
Maruti Suzuki,maruti-suzuki-brezza,2021,35000.0,Manual,first,Petrol,851000,7000.0
Audi,A8 L,2017,51000.0,Automatic,first,Diesel,3500000,5666.666666666667
Kia,Seltos,2022,30891.0,Automatic,first,Diesel,1875000,7722.75
Hyundai,Alcazar,2023,2500.0,Automatic,first,Petrol,1800000,833.3333333333334
Maruti Suzuki,Swift,2019,32000.0,Manual,second,Petrol,575000,4571.428571428572
